Date,Map Name,Match Result,Agent Name,grenadeCasts,ability1Casts,ability2Casts,ultimateCasts,dealtHeadshots,dealtBodyshots,econRating,firstBloods,firstDeaths,lastDeaths,traded,kAST,flawless,thrifty,teamAces,clutches,damagePerRound,damageDeltaPerRound,headshotsPercentage,roundsPlayed,roundsWon,roundsLost,kills,deaths,assists,damage,damageReceived,plants,defuses,kdRatio,trnPerformanceScore,placement,rank
2024-03-30T22:12:44.65+00:00,Ascent,defeat,Jett,11,4,12,2,8,38,62,1,2,1,4,74.0,1,5,0,,137.05263157894737,-12.105263157894736,16.3265306122449,,,,14,14,4,2604,2834,0,0,1.0,1.0,6,Gold 1
2024-03-30T21:35:22.97+00:00,Bind,defeat,Jett,15,6,17,3,11,44,65,2,1,2,2,62.0,1,6,0,,150.57142857142858,21.714285714285715,19.298245614035086,,,,18,17,4,3162,2706,0,0,1.0588235294117647,1.0588235294117647,5,Gold 2
2024-03-30T04:19:53.676+00:00,Bind,defeat,Jett,14,2,19,1,6,60,71,4,3,2,7,83.0,2,2,0,,151.47826086956522,-4.173913043478261,8.571428571428571,,,,20,18,5,3484,3580,0,1,1.1111111111111112,1.1111111111111112,5,Gold 2
2024-03-30T03:34:39.204+00:00,Sunset,defeat,Jett,18,5,15,3,6,32,48,8,3,0,6,65.0,2,3,0,,119.92307692307692,-23.0,15.0,,,,16,19,5,3118,3716,0,0,0.8421052631578947,0.8421052631578947,6,Gold 2
2024-03-30T02:42:49.6+00:00,Split,defeat,Jett,10,1,16,2,8,52,62,4,4,2,2,75.0,0,3,0,,149.35,-5.95,12.698412698412698,,,,14,17,4,2987,3106,0,0,0.8235294117647058,0.8235294117647058,7,Gold 2
2024-03-29T22:14:53.383+00:00,Lotus,victory,Jett,13,3,15,0,7,29,46,1,5,0,4,76.0,1,2,1,,117.41176470588235,-34.8235294117647,18.91891891891892,,,,11,14,2,1996,2588,0,0,0.7857142857142857,0.7857142857142857,7,Gold 2
2024-03-29T21:12:03.769+00:00,Split,tied,Jett,26,5,28,4,16,74,71,5,5,2,7,82.0,0,11,1,,182.32142857142858,33.357142857142854,16.49484536082474,,,,28,22,5,5105,4171,0,0,1.2727272727272727,1.2727272727272727,1,Gold 2
2024-03-29T04:11:39.333+00:00,Breeze,defeat,Jett,15,3,17,2,9,34,43,2,3,1,3,57.0,0,4,0,,114.19047619047619,-56.285714285714285,19.148936170212767,,,,12,21,2,2398,3580,1,0,0.5714285714285714,0.5714285714285714,7,Gold 2
2024-03-29T03:35:16.184+00:00,Bind,defeat,Jett,13,1,8,1,5,38,45,3,0,1,4,76.0,1,4,0,,106.71428571428571,-52.523809523809526,10.869565217391305,,,,10,16,5,2241,3344,0,1,0.625,0.625,9,Gold 2
2024-03-29T03:09:43.795+00:00,Lotus,victory,Jett,15,4,11,0,8,38,87,4,2,0,2,83.0,0,1,0,,224.83333333333334,83.0,17.02127659574468,,,,15,8,2,2698,1702,0,0,1.875,1.875,2,Gold 2
2024-03-22T02:44:26.491+00:00,Breeze,defeat,Jett,14,3,16,2,4,46,51,3,2,3,6,65.0,0,5,1,,135.52173913043478,-5.521739130434782,7.142857142857142,,,,13,18,4,3117,3244,1,0,0.7222222222222222,0.7222222222222222,6,Gold 2
2024-03-19T03:31:41.551+00:00,Bind,defeat,Jett,12,1,19,3,8,27,46,4,4,2,3,44.0,0,2,0,,114.38888888888889,-45.666666666666664,21.62162162162162,,,,11,17,0,2059,2881,0,0,0.6470588235294118,0.6470588235294118,6,Gold 2
2024-03-19T02:52:17.598+00:00,Split,victory,Jett,18,3,22,2,16,48,68,3,4,0,6,78.0,1,3,0,1,170.43478260869566,37.04347826086956,24.242424242424242,,,,21,17,3,3920,3068,0,1,1.2352941176470589,1.2352941176470589,3,Gold 2
2024-03-10T05:10:30.297+00:00,Ascent,defeat,Jett,7,1,9,1,4,25,51,2,6,2,1,53.0,0,4,0,,108.70588235294117,-29.705882352941178,11.428571428571429,,,,11,15,1,1848,2353,0,1,0.7333333333333333,0.7333333333333333,8,Gold 2
2024-03-10T04:31:42.388+00:00,Lotus,defeat,Jett,9,3,11,2,6,29,37,0,5,3,3,62.0,0,3,0,1,89.76190476190476,-67.95238095238095,15.384615384615385,,,,8,18,6,1885,3312,0,0,0.4444444444444444,0.4444444444444444,9,Gold 2
2024-03-10T03:49:01.048+00:00,Icebox,victory,Jett,5,4,15,1,10,44,60,3,5,1,3,81.0,1,4,0,,141.14285714285714,-17.333333333333332,16.129032258064516,,,,15,18,6,2964,3328,0,0,0.8333333333333334,0.8333333333333334,6,Gold 2
2024-03-10T03:08:59.99+00:00,Bind,victory,Jett,17,1,12,2,3,43,44,4,6,2,2,60.0,3,3,0,,130.1,-33.3,5.88235294117647,,,,12,17,4,2602,3268,0,0,0.7058823529411765,0.7058823529411765,7,Gold 2
2024-03-10T02:11:29.347+00:00,Bind,defeat,Jett,21,1,19,2,7,71,57,4,5,3,1,75.0,1,3,0,1,157.17857142857142,15.25,8.13953488372093,,,,22,22,6,4401,3974,1,0,1.0,1.0,3,Gold 2
2024-03-09T04:28:49.161+00:00,Split,victory,Jett,15,2,12,2,8,30,103,7,0,1,2,88.0,3,2,0,,207.6875,126.875,20.0,,,,20,6,4,3323,1293,0,0,3.3333333333333335,3.3333333333333335,1,Gold 2
2024-03-09T03:42:13.81+00:00,Ascent,victory,Jett,18,3,21,1,14,51,64,4,5,0,3,70.0,1,5,1,1,177.52173913043478,7.478260869565218,20.0,,,,17,18,8,4083,3911,1,0,0.9444444444444444,0.9444444444444444,5,Gold 2
